vin,vout attesa,vout misura,vop attesa,vop misura
-6,-6,-5.9,-6.7,-6.676
-5,-5,-5.08,-5.7,-5.767
-4,-4,-4.007,-4.7,-4.753
-3,-3,-3.007,-3.7,-3.735
-2,-2,-2.006,-2.7,-2.71
-1,-1,-1.005,-1.7,-1.671
-0.9,-0.9,-0.905,-1.6,-1.566
-0.8,-0.8,-0.804,-1.5,-1.46
-0.7,-0.7,-0.704,-1.4,-1.353
-0.6,-0.6,-0.604,-1.3,-1.245
-0.5,-0.5,-0.504,-1.2,-1.135
-0.4,-0.4,-0.404,-1.1,-1.023
-0.3,-0.3,-0.304,-1,-0.909
-0.2,-0.2,-0.204,-0.9,-0.789
-0.1,-0.1,-0.103,-0.8,-0.654
0,0,0.00742,-0.7,8.64
0.1,0,0.00742,10.45,8.64
0.2,0,0.00742,10.45,8.64
0.3,0,0.00742,10.45,8.64
0.4,0,0.00742,10.45,8.64
0.5,0,0.00742,10.45,8.64
0.6,0,0.00742,10.45,8.64
0.7,0,0.00742,10.45,8.64
0.8,0,0.00742,10.45,8.64
0.9,0,0.00742,10.45,8.64
1,0,0.00742,10.45,8.64
2,0,0.00742,10.45,8.64
3,0,0.00742,10.45,8.64
4,0,0.00742,10.45,8.64
5,0,0.00742,10.45,8.64
6,0,0.00742,10.45,8.64
